source_id,title,year,venue,family,primary_url,peer_reviewed,weights_updated,external_runtime_or_tool,model_role,occupied_claim,distinction_from_flagship,nearest_neighbor,inclusion_reason
RW-011,ReAct: Synergizing Reasoning and Acting in Language Models,2023,ICLR/arXiv,tool use,https://arxiv.org/abs/2210.03629,yes,no,interactive tools/environments,"interleaves reasoning, actions, observations",Tool observations can improve reasoning and acting.,LM remains planner and decision maker; no authoritative typed frame.,no,tool-use baseline family
RW-012,Toolformer: Language Models Can Teach Themselves to Use Tools,2023,NeurIPS/arXiv,tool learning,https://arxiv.org/abs/2302.04761,yes,yes,multiple external tools,learns when and how to call tools,Self-supervised training can teach tool use.,Changes weights and studies routing rather than fixed-weight interface placement.,no,training-based tool contrast
RW-013,ART: Automatic Multi-step Reasoning and Tool-use for Large Language Models,2023,arXiv,tool use,https://arxiv.org/abs/2303.09014,no,no,external tools,generates decomposed tool-use programs,Frozen LMs can execute multi-step tool programs.,No deterministic formal-knowledge contract or strict state frame.,no,frozen tool-use adjacency
RW-014,Gorilla: Large Language Model Connected with Massive APIs,2023,arXiv,tool learning,https://arxiv.org/abs/2305.15334,no,yes,large API collection,generates API calls,Finetuning and retrieval improve API calling.,Changes weights and targets APIs rather than semantic compilation.,no,API-tool learning adjacency
RW-015,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,2023,arXiv,tool learning,https://arxiv.org/abs/2307.16789,no,yes,real-world APIs,plans and calls APIs,Instruction tuning can teach large-scale tool use.,Changes weights; no fixed-student epistemic interface experiment.,no,tool-training adjacency
RW-016,PICARD,2021,EMNLP/arXiv,constrained decoding,https://arxiv.org/abs/2109.05093,yes,yes,incremental SQL parser,generates SQL under constraints,Incremental parsing rejects invalid structured tokens.,"Constrains syntax, not domain-semantic truth/status.",no,structured-output control
RW-017,Grammar-Constrained Decoding for Structured NLP Tasks without Finetuning,2023,EMNLP/ACL,constrained decoding,https://aclanthology.org/2023.emnlp-main.674/,yes,no,formal grammar at decoding,generates grammar-valid output,Formal grammars can guarantee output structure without finetuning.,No independent formal inference; strong structure-only control.,no,strong typed-structure family
RW-018,LMQL: A Programming Language for Constraint-Guided Interaction with Large Language Models,2022,arXiv,prompt programming,https://arxiv.org/abs/2212.06094,no,no,LMQL runtime/constraints,executes prompt programs,Query languages can constrain and orchestrate LM generation.,Controls generation rather than executing domain semantics.,no,prompt-language adjacency
RW-019,Efficient Guided Generation for Large Language Models,2023,arXiv,constrained decoding,https://arxiv.org/abs/2307.09702,no,no,finite-state/grammar guidance,generates constrained text,Finite-state guidance efficiently enforces formats.,No decision policy or semantic execution.,no,output-validity control
RW-020,SynCode: LLM Generation with Grammar Augmentation,2024,arXiv,constrained decoding,https://arxiv.org/abs/2403.01632,no,no,grammar-aware decoder,generates valid code/text,Grammar masking can guarantee syntactic validity.,No strict epistemic inference.,no,grammar adjacency
RW-021,XGrammar,2024,arXiv,constrained decoding,https://arxiv.org/abs/2411.15100,no,no,grammar execution engine,generates structured outputs,Efficient grammar engines enable high-throughput structured generation.,"Efficiency contribution, not trusted semantic result placement.",no,infrastructure control
RW-022,JSONSchemaBench,2025,arXiv,structured-output evaluation,https://arxiv.org/abs/2501.10868,no,varies,JSON Schema decoding engines,produces JSON,"Structured-output engines differ in validity, coverage, and efficiency.",Evaluates schemas rather than formal epistemic correctness.,no,schema-evaluation control
RW-023,Grammar-Constrained Decoding Makes Large Language Models Better Logical Parsers,2025,ACL Industry,logical parsing,https://aclanthology.org/2025.acl-industry.34/,yes,no,grammar decoder and downstream solver context,translates NL to logical forms,Grammar constraints improve syntactic and semantic logical parsing.,Strengthens extraction layer but not verified-result interface comparison.,no,important extraction predecessor
RW-024,Large Language Models Are Human-Level Prompt Engineers,2022,arXiv,prompt optimization,https://arxiv.org/abs/2211.01910,no,no,automatic prompt engineering loop,generates/selects instructions,LLMs can generate effective prompts.,No execution of domain semantics.,no,teacher-prompt predecessor
RW-025,Large Language Models as Optimizers,2023,arXiv,prompt optimization,https://arxiv.org/abs/2309.03409,no,no,optimization-by-prompting,proposes improvements from history,LLMs can optimize prompts and discrete artifacts.,No trusted execution or strict frame.,no,iterative optimizer predecessor
RW-026,Automatic Prompt Optimization with Gradient Descent and Beam Search,2023,EMNLP/ACL,prompt optimization,https://aclanthology.org/2023.emnlp-main.494/,yes,no,textual-gradient optimizer,criticizes and edits prompts,Data-driven textual gradients can improve prompts.,"Occupies prompt-teacher improvement, not formal execution.",no,direct prompt-teacher predecessor
RW-027,DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines,2023,arXiv,program optimization,https://arxiv.org/abs/2310.03714,no,no,DSPy optimizer/compiler,optimizes prompts/demonstrations in modules,Declarative LM programs can be optimized automatically.,"Compiler optimizes LM programs, not formal domain semantics into verified frames.",no,terminology/program predecessor
RW-028,Promptbreeder,2024,ICML/PMLR,prompt optimization,https://proceedings.mlr.press/v235/fernando24a.html,yes,no,evolutionary prompt optimizer,mutates task and mutation prompts,Self-referential evolution can improve prompts.,No trusted runtime or strict interface isolation.,no,teacher optimization predecessor
RW-029,EvoPrompt,2023,arXiv,prompt optimization,https://arxiv.org/abs/2309.08532,no,no,evolutionary prompt search,mutates/selects prompts,Evolutionary search automates prompt optimization.,No formal execution or epistemic frame.,no,teacher baseline adjacency
RW-030,Self-Refine,2023,arXiv,self-refinement,https://arxiv.org/abs/2303.17651,no,no,self-feedback loop,"generates, critiques, refines",Iterative self-feedback can improve outputs without training.,No trusted external semantics.,no,refinement control
RW-031,CRITIC,2023,arXiv,tool-assisted refinement,https://arxiv.org/abs/2305.11738,no,no,external critique tools,uses tools then revises,Tool feedback can support self-correction.,LM remains final decision maker.,no,tool-refinement control
RW-032,Weak-to-Strong Generalization,2024,ICML/PMLR,weak-to-strong learning,https://proceedings.mlr.press/v235/burns24b.html,yes,yes,weak-label training pipeline,learns from weak supervision,Weak supervision can elicit some stronger capabilities.,Changes weights; not fixed-weight contextual teaching.,no,teacher-student boundary
RW-033,Let's Verify Step by Step,2023,arXiv,verifier training,https://arxiv.org/abs/2305.20050,no,yes,learned process verifier,generates and scores steps,Process supervision improves reasoning selection.,Learned verifier and weight updates differ from independent deterministic oracle.,no,verifier-training contrast
RW-034,Making Reasoning Matter,2024,Findings EMNLP/ACL,faithfulness training,https://aclanthology.org/2024.findings-emnlp.882/,yes,yes,causal reward/preference training,trains inference and reasoning modules,Explicit objectives can improve use of reasoning steps.,Changes weights; flagship relocates formal execution with fixed weights.,no,faithfulness-training adjacency
RW-035,Training Language Models to Use Prolog as a Tool,2026,Findings ACL,Prolog tool training,https://aclanthology.org/2026.findings-acl.1644/,yes,yes,Prolog,learns to generate/execute Prolog,Training a 3B model reveals accuracy-auditability tradeoff.,"Very close scale/tool, but changes weights and lacks matched raw/teacher/frame design.",no,recent adversarial predecessor
RW-036,NSF-CoT,2026,Findings ACL,formal verification,https://aclanthology.org/2026.findings-acl.516/,yes,no,SMT solver plus LM entailment judge,translates and verifies reasoning steps,Hybrid checking can test evidence support of CoT steps.,Verifies generated CoT rather than compiling source knowledge before rendering.,no,recent verification adjacency
RW-037,FACT-E,2026,Findings ACL,faithfulness evaluation,https://aclanthology.org/2026.findings-acl.1014/,yes,no,controlled perturbation evaluator,generates/evaluates trajectories,Causal perturbations improve faithfulness evaluation and selection.,Evaluates trajectories rather than trusted formal inference placement.,no,recent evaluation adjacency
RW-038,SkillSmith: Compiling Agent Skills into Boundary-Guided Runtime Interfaces,2026,arXiv,compiler-runtime interfaces,https://arxiv.org/abs/2605.15215,no,no,compiled executable skill interfaces,strong model compiles artifacts reused by smaller runtime models,Offline skill compilation can reduce context and reasoning overhead while improving smaller-model execution.,"Closest rhetoric and architecture; no strict four-state epistemic contract, independent oracle, or matched execution/structure/conclusion decomposition.",yes,closest 2026 compiler-runtime predecessor
RW-039,Ontology-to-tools Compilation for Executable Semantic Constraint Enforcement,2026,arXiv,ontology compilation,https://arxiv.org/abs/2602.03439,no,no,ontology-aware MCP tools,agent consumes compiled executable semantic constraints,Formal ontologies can be compiled into executable tool interfaces that constrain LLM agents.,"Targets knowledge extraction and stateful tool actions, not fixed-weight small renderers or matched verified-decision-frame causality.",yes,closest executable-semantics predecessor
RW-040,Compiled Memory: Not More Information but More Precise Instructions for Language Agents,2026,arXiv,compiled memory,https://arxiv.org/abs/2603.15666,no,no,memory promotion gate and prompt rewriting,agent consumes compiled instruction structure,Experience can be compiled into reusable instructions without fine-tuning or RAG.,Compiles behavioral instructions rather than executing formal domain semantics into a typed decision frame.,no,compile-not-train terminology predecessor
RW-041,DeepRefine: Agent-Compiled Knowledge Refinement via Reinforcement Learning,2026,arXiv,compiled knowledge refinement,https://arxiv.org/abs/2605.10488,no,yes,compiled knowledge base and refinement actions,trained reasoning model diagnoses and edits compiled knowledge,Agent-compiled knowledge bases can be refined through RL-guided interaction.,Changes weights and refines knowledge stores rather than isolating runtime-interface placement.,no,recent compiled-knowledge adjacency
RW-042,SIGIL: Compiling Agent Skills into Typed Harnesses,2026,arXiv,typed skill compiler,https://arxiv.org/abs/2607.27309,no,no,AG-IR plus deterministic lowering to executable harness,"compiler separates model-owned cognition from code-owned mechanism",Typed compilation can structurally enforce mandated procedural steps with source provenance and model-independent mechanism.,"Materially nearest architecture; uses gpt-4o/gpt-5 rather than a fixed small renderer and does not study a four-state strict-epistemic result contract or matched answer-copying controls.",yes,independent review B1 nearest paper
RW-043,FACTS: Table Summarization via Offline Template Generation with Agentic Workflows,2026,Findings ACL,offline verified templates,https://aclanthology.org/2026.findings-acl.453/,yes,no,SQL plus Jinja2 reusable templates,offline LLM workflow emits reusable deterministic templates,Offline template generation can move reasoning into executable SQL and deterministic rendering for repeated schemas.,"Table summarization and privacy-oriented templating; no fixed-small-model strict epistemic result interface or four-state causal ablation.",no,independent review B2 adjacent offline compilation
RW-044,Skill Discovery for Software Scripting Automation via Offline Simulations with LLMs,2026,Findings EACL,offline verified scripts,https://aclanthology.org/2026.findings-eacl.37/,yes,no,execution-validated reusable scripts,LLMs generate and refine scripts offline using execution feedback,Offline simulation can curate verified executable skillsets and avoid unverified runtime code generation.,"Software automation skill discovery rather than authoritative formal-result placement; no four-state epistemic frame or matched renderer controls.",no,independent review B2 adjacent verified artifact generation
RW-045,SkillRT: Compiling Skills for Efficient Execution Everywhere,2026,arXiv,skill compiler runtime,https://arxiv.org/abs/2604.03088,no,no,capability compilation plus JIT code solidification,agents consume compiled portable skill artifacts,Skill compilation can improve portability efficiency and completion across model scales and harnesses.,"Compiler/runtime efficiency and portability are occupied; no strict epistemic states, authoritative result frame, or answer-copying decomposition.",yes,close compiler-runtime predecessor discovered in refresh
RW-046,Harnessing LLM Agents with Skill Programs,2026,arXiv,executable skill programs,https://arxiv.org/abs/2605.17734,no,varies,Program Functions acting in agent loop,agent receives executable guardrail interventions,Executable skill programs can intervene at inference time and can also support post-training or self-improvement.,"Intervention/control-flow skill mechanism rather than trusted formal result transport; weight-changing variants are allowed.",no,adjacent executable-skill predecessor
RW-047,Auto: The AGI Compiler,2026,arXiv,agent behavior compiler,https://arxiv.org/abs/2607.04542,no,varies,verified programs or distilled specialists plus calibrated guards,frontier-agent behavior is compiled into reusable cognition binaries,Witnessed-deterministic agent behavior can be extracted into verified low-cost programs with guard/deopt mechanisms.,"Compiles observed agent behavior rather than source assertions into a four-state epistemic result contract; no matched raw/teacher/frame renderer study.",yes,close verification-and-compilation predecessor
RW-048,SkCC: Portable and Secure Skill Compilation for Cross-Framework LLM Agents,2026,arXiv,typed skill compilation,https://arxiv.org/abs/2605.03353,no,no,SkIR strongly typed compiler and security analyzer,compiled skills target heterogeneous agent frameworks,Typed IR can decouple skill semantics from platform formatting while improving pass rate and token cost.,"Typed skill compilation and compile-time enforcement are occupied; no formal truth-status result interface or independent epistemic oracle.",yes,close typed-compiler predecessor
RW-049,Anything2Skill: Compiling External Knowledge into Reusable Skills for Agents,2026,arXiv,knowledge-to-skill compilation,https://arxiv.org/abs/2606.09316,no,no,structured executable skill contracts and SkillBank,agents retrieve procedural skills plus declarative evidence,Heterogeneous external knowledge can be compiled into reusable procedural skill contracts with supporting evidence and confidence.,"Compiles procedural guidance rather than executing domain semantics into authoritative supported/refuted/unknown/conflicting results.",no,adjacent compiled-knowledge predecessor
RW-050,The Readout Shortcut: Positional Number Copying Dominates Arithmetic CoT Readout in Small Language Models,2026,arXiv,small-model causal readout evaluation,https://arxiv.org/abs/2605.22870,no,no,controlled rationale and distractor interventions,fixed 1-3B models consume manipulated rationale prefixes,Small LMs often copy answer-like trailing values rather than causally use intermediate reasoning.,"No trusted solver or compiler; directly occupies and strengthens the need for an answer-copying control in the flagship causal design.",no,critical control-family predecessor
RW-051,PROTEA: Offline Evaluation and Iterative Refinement for Multi-Agent LLM Workflows,2026,ACL System Demonstrations,layered workflow evaluation,https://aclanthology.org/2026.acl-demo.3/,yes,no,configurable intermediate evaluators and workflow graph,workflow nodes are scored and localized before targeted prompt repair,Intermediate artifact scoring can localize likely bottlenecks in LLM workflows.,"Diagnostic workflow tooling rather than independent strict-epistemic oracle; relevant to layer-localization claims only.",no,recent layer-evaluation adjacency
RW-052,SOP-Agent: Empower General Purpose AI Agent with Domain-Specific SOPs,2025,arXiv,decision-graph SOP routing,https://arxiv.org/abs/2501.09316,no,no,SOP decision-graph traversal plus valid-function filtering,agent traverses a natural-language SOP graph to guide decisions and restrict available functions,A decision graph can encode domain SOP procedure and guide an LLM agent while filtering tool choices.,"Occupies broad decision-graph and SOP routing claims; no four-state epistemic result contract, fixed-small renderer, or matched authoritative-result placement study.",no,Q13 mandatory router/SOP control
RW-053,Don’t Adapt Small Language Models for Tools; Adapt Tool Schemas to the Models,2026,ACL,tool-schema adaptation,https://aclanthology.org/2026.acl-long.948/,yes,no,PA-Tool peakedness-based schema renaming,small language models select tools against training-free pretraining-aligned schemas,Schema-level naming adaptation can improve small-model tool use by up to 17% and reduce schema-misalignment errors by 80% without retraining.,"Mandatory alternative explanation for Qwen tool-selection modes: gains can come from schema naming/alignment rather than teacher reasoning or routing; no trusted four-state semantic execution.",no,Q13 mandatory schema-alignment control
RW-054,SmartAD: Capacity-Aligned Agent Distillation for Small Language Models,2026,Findings ACL,agent distillation,https://aclanthology.org/2026.findings-acl.1349/,yes,yes,trajectory selection plus segment-weighted supervised loss,1.5B and 3B students learn full reason-act-observe trajectories from a tool-using teacher,Teacher agent trajectories can transfer tool-use behavior into small-model weights with capacity-aligned selection and supervision.,"Directly occupies teacher-agent trajectory distillation but changes weights; ENG-202 is a boundary comparison rather than novelty for distillation.",no,Q14 mandatory agent-distillation control
RW-055,Skill-Aware Data Selection and Fine-Tuning for Data-Efficient Reasoning Distillation,2026,ACL,reasoning distillation,https://aclanthology.org/2026.acl-short.49/,yes,yes,skill-based data selection plus supervised fine-tuning,Qwen3-4B and Qwen3-8B students are fine-tuned on a selected teacher-generated corpus,Teacher-generated data plus targeted SFT can transfer reasoning efficiently to Qwen-family students.,"Occupies broad teacher-generated-data to Qwen-weight adaptation; not a fixed-weight interface-placement study.",no,Q14 mandatory Qwen-SFT boundary control
RW-056,Harnessing Negative Signals: Reinforcement Distillation from Teacher Data for LLM Reasoning,2026,ACL,reinforcement distillation,https://aclanthology.org/2026.acl-long.74/,yes,yes,SFT followed by REINFORCE-style REDI over positive and negative teacher traces,Qwen-REDI-1.5B learns from distilled teacher reasoning traces,Positive and negative teacher traces can be used in a two-stage weight-adaptation recipe for data-efficient reasoning distillation.,"Occupies teacher-trace SFT plus reinforcement distillation; not immutable-weight authoritative semantic-result placement.",no,Q14 mandatory reinforcement-distillation control
RW-057,AgenticQwen: Training Small Agentic Language Models with Dual Data Flywheels for Industrial-Scale Tool Use,2026,ACL Industry,small-model agentic RL,https://aclanthology.org/2026.acl-industry.37/,yes,yes,multi-round reasoning RL plus agentic RL and synthetic-data flywheels,small Qwen-family agents learn multi-step reasoning and tool use from generated task/workflow data,Small Qwen-family models can acquire industrial tool-use capabilities through synthetic-data flywheels and reinforcement learning.,"Occupies broad small-Qwen tool-use weight adaptation and generated workflow supervision; fixed-weight interface placement remains distinct.",no,Q14 mandatory Qwen-agent training control
RW-058,When Agents Look the Same: Quantifying Distillation-Induced Similarity in Tool-Use Behaviors,2026,ACL,distillation behavior evaluation,https://aclanthology.org/2026.acl-long.478/,yes,yes,Action Graph Similarity plus Response Pattern Similarity and controlled distillation,tool-using agents are compared with a teacher for non-mandatory behavioral convergence,Distillation can cause teacher-specific convergence in tool-use action graphs and response patterns beyond general task improvement.,"A diagnostic/control for ENG-202: behavioral similarity after adaptation may reflect teacher imitation rather than the fixed-weight semantic-placement mechanism.",no,Q14 mandatory distillation-convergence control
