candidate_id,source_id,title,primary_url,retrieved_on,version_or_venue,disposition,exclusion_reason,d1_fixed_weight_small_open,d2_matched_interface_contrast,d3_trusted_deterministic_semantics,d4_four_state_epistemic_status,d5_verified_result_renderer,d6_structure_and_copy_controls,d7_independent_layer_oracle,evidence_locator,notes
C-052,RW-052,SOP-Agent: Empower General Purpose AI Agent with Domain-Specific SOPs,https://arxiv.org/abs/2501.09316,2026-08-07,arXiv:2501.09316,include_control,,no,yes,partial,no,no,no,partial,"arXiv abstract and method; decision-graph SOP traversal and valid-function filtering","Direct router/SOP precedent required by independent review round 2."
C-053,RW-053,Don’t Adapt Small Language Models for Tools; Adapt Tool Schemas to the Models,https://aclanthology.org/2026.acl-long.948/,2026-08-07,ACL 2026,include_control,,yes,yes,no,no,no,no,partial,"ACL Anthology abstract/PDF; MetaTool and RoTBench","Training-free schema renaming is a mandatory alternative explanation for Qwen tool-selection gains."
E-005,,Router-R1: Teaching LLMs Multi-Round Routing and Aggregation via Reinforcement Learning,https://arxiv.org/abs/2506.09033,2026-08-07,arXiv:2506.09033,exclude,"Routes user queries among multiple LLM backends and optimizes model-selection cost; not a domain SOP/tool-schema/semantic-result placement study.",no,partial,no,no,no,no,partial,"arXiv abstract","Routing terminology is relevant but the target is model/provider routing rather than teacher knowledge placement."
E-006,,vLLM Semantic Router: Signal Driven Decision Routing for Mixture-of-Modality Models,https://arxiv.org/abs/2603.04444,2026-08-07,arXiv:2603.04444,exclude,"Inference request routing among heterogeneous model/provider backends; not a domain tool-selection or epistemic-interface mechanism.",no,partial,no,no,no,no,partial,"arXiv abstract","Explicitly screened to separate systems model routing from ENG-200 symbolic/domain routing."
E-007,,Agent-S: LLM Agentic workflow to automate Standard Operating Procedures,https://arxiv.org/abs/2503.15520,2026-08-07,arXiv:2503.15520,exclude,"Close SOP automation adjacency but weaker than included SOP-Agent for the exact formal decision-graph claim; no distinct matched semantic-placement contribution.",no,partial,partial,no,no,no,partial,"arXiv abstract","Retained as explicit adjacency/exclusion rather than double-counting the SOP family."
E-011,,A Novel Architecture for Symbolic Reasoning with Decision Trees and LLM Agents,https://arxiv.org/abs/2508.05311,2026-08-07,arXiv:2508.05311,exclude,"Decision trees are callable symbolic reasoning oracles in a broad multi-agent architecture, not a teacher-generated tool router or matched transfer-ladder interface study.",no,partial,partial,no,no,no,partial,"arXiv abstract","Confirms decision-tree symbolic augmentation is occupied but is less direct than SOP-Agent for Q13."
C-054,RW-054,SmartAD: Capacity-Aligned Agent Distillation for Small Language Models,https://aclanthology.org/2026.findings-acl.1349/,2026-08-07,Findings ACL 2026,include_control,,yes,no,no,no,no,no,partial,"ACL Anthology abstract/PDF; 1.5B and 3B students; multi-hop QA and math","Direct teacher reason-act-observe trajectory distillation boundary for ENG-202."
C-055,RW-055,Skill-Aware Data Selection and Fine-Tuning for Data-Efficient Reasoning Distillation,https://aclanthology.org/2026.acl-short.49/,2026-08-07,ACL 2026,include_control,,yes,no,no,no,no,no,partial,"ACL Anthology abstract/PDF; 1K of 100K teacher corpus; Qwen3-4B/8B","Direct teacher-generated data to Qwen SFT boundary."
C-056,RW-056,Harnessing Negative Signals: Reinforcement Distillation from Teacher Data for LLM Reasoning,https://aclanthology.org/2026.acl-long.74/,2026-08-07,ACL 2026,include_control,,yes,no,no,no,no,no,partial,"ACL Anthology abstract/PDF; Qwen-REDI-1.5B; 131K Open-R1 traces","Covers positive/negative teacher traces with SFT plus reinforcement distillation."
C-057,RW-057,AgenticQwen: Training Small Agentic Language Models with Dual Data Flywheels for Industrial-Scale Tool Use,https://aclanthology.org/2026.acl-industry.37/,2026-08-07,ACL 2026 Industry,include_control,,yes,partial,partial,no,no,no,partial,"ACL Anthology abstract/PDF; reasoning RL plus agentic RL","Direct small-Qwen tool-use weight-adaptation control; synthetic workflows include multi-branch behavior trees."
C-058,RW-058,When Agents Look the Same: Quantifying Distillation-Induced Similarity in Tool-Use Behaviors,https://aclanthology.org/2026.acl-long.478/,2026-08-07,ACL 2026,include_control,,partial,yes,no,no,no,partial,partial,"ACL Anthology abstract/PDF; 18 models/8 providers plus controlled distillation","Diagnostic control showing teacher-specific convergence in tool-use action graphs after distillation."
E-008,,Long-Chain Reasoning Distillation via Adaptive Prefix Alignment,https://aclanthology.org/2026.acl-long.822/,2026-08-07,ACL 2026,exclude,"Generic mathematical long-chain reasoning distillation without agent/tool use or the transfer-ladder interface question.",yes,no,no,no,no,no,partial,"ACL Anthology abstract","Relevant distillation family but less direct than SmartAD/Skill-Aware/REDI."
E-009,,Fast and Effective On-Policy Distillation from Reasoning Prefixes,https://aclanthology.org/2026.findings-acl.1276/,2026-08-07,Findings ACL 2026,exclude,"Generic reasoning-prefix on-policy distillation; no tool/agent or epistemic-interface placement component.",yes,no,no,no,no,no,partial,"ACL Anthology abstract","Screened as a weight-adaptation neighbour but excluded from the bounded mandatory control set."
E-010,,SIRAJ: Diverse and Efficient Red-Teaming for LLM Agents via Distilled Structured Reasoning,https://aclanthology.org/2026.findings-eacl.171/,2026-08-07,Findings EACL 2026,exclude,"Agent distillation is used for red-team attack generation rather than general tool-use/semantic routing; SmartAD is the more direct agent-distillation control.",yes,no,partial,no,no,no,partial,"ACL Anthology abstract","Structured teacher-reasoning distillation is acknowledged but task-specific to safety red-teaming."
